,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12+,Year,Region
X1,2.29E-06,0.095535984,0.400114961,0.175278369,0.112936568,0.10955786,0.074366715,0.018837865,0.00689582,0.003793466,0.001154848,0.000819155,0.0007061,1994,both
X2,2.16E-05,0.054919382,0.275842523,0.42318642,0.098841886,0.070254415,0.049600898,0.012571972,0.005984286,0.005158565,0.001219763,0.001338631,0.001059708,1995,both
X3,3.37E-06,0.060181735,0.201698845,0.203257116,0.294896005,0.132223352,0.061564807,0.031249566,0.008278479,0.003120933,0.001259316,0.001129977,0.001136496,1996,both
X4,9.46E-05,0.257190756,0.176897507,0.166907375,0.154894009,0.118223765,0.087768548,0.023109008,0.00961751,0.002439726,0.001533212,0.00095685,0.000367137,1997,both
X5,1.48E-05,0.074289461,0.447417415,0.200448365,0.111952677,0.057275078,0.058576812,0.029455328,0.015877447,0.00345371,0.000520386,0.000540389,0.000178164,1998,both
X6,0,0.070222118,0.191977586,0.327943177,0.233471385,0.075115388,0.054183636,0.027303695,0.011740109,0.005271239,0.000984526,0.001299532,0.000487609,1999,both
X7,0,0.224901208,0.108729442,0.166779007,0.251365006,0.153402114,0.058228528,0.013483743,0.014104216,0.004025147,0.003387976,0.001208478,0.000385135,2000,both
X8,3.25E-05,0.292167071,0.240638454,0.193008001,0.087698043,0.084969585,0.06641507,0.024284097,0.006837725,0.001634484,0.001183861,0.000863477,0.000267662,2001,both
X9,0.000427342,0.077867173,0.187998301,0.312504172,0.241551101,0.071090101,0.058485,0.036506569,0.009241605,0.002694556,0.000974773,0.000314833,0.000344474,2002,both
X10,6.38E-06,0.168613529,0.155922269,0.245469304,0.218353041,0.120945344,0.041619871,0.029015281,0.015023688,0.003487454,0.000444698,0.000441438,0.000657697,2003,both
X11,0,0.137921148,0.169305945,0.274939183,0.125634885,0.130863756,0.092514554,0.036226493,0.01984855,0.007857113,0.002107973,0.002268115,0.000512286,2004,both
X12,3.52E-06,0.174635819,0.240123366,0.20528287,0.126765283,0.066269463,0.085066042,0.058249625,0.025368516,0.009979838,0.003556739,0.004252737,0.000446183,2005,both
X13,0,0.30700689,0.15209195,0.176818174,0.122779612,0.094278398,0.0614707,0.04468621,0.026702378,0.009615266,0.002951163,0.001051879,0.00054738,2006,both
X14,0,0.672560989,0.103397019,0.074782499,0.047841299,0.04888547,0.019398898,0.015688041,0.008174325,0.005276328,0.002173214,0.000971568,0.000850349,2007,both
X15,0,0.193586069,0.448901332,0.153352052,0.089707402,0.051464383,0.030826985,0.010821903,0.010076024,0.005750052,0.002438208,0.001878044,0.001197544,2008,both
X16,0,0.440193742,0.19702297,0.237082671,0.065143499,0.028687572,0.014766529,0.009037939,0.004528557,0.001698839,0.000882753,0.000639956,0.000314974,2009,both
X17,0,0.044157172,0.512013398,0.16867588,0.187475342,0.058101845,0.014405568,0.008084074,0.003835834,0.001831948,0.000668283,0.000658085,9.26E-05,2010,both
X18,6.19E-05,0.30666167,0.073771612,0.383935992,0.106892528,0.087972743,0.026977559,0.007016776,0.002895518,0.001726944,0.00105733,0.000581716,0.000447716,2011,both
X19,0,0.361698183,0.239899107,0.060655302,0.234568226,0.061324606,0.029607576,0.007443269,0.002283381,0.001604515,0.0005683,0.000131779,0.000215755,2012,both
X20,0,0.093041421,0.427637913,0.189593271,0.109879964,0.113165622,0.050340792,0.011446136,0.003315889,0.000881053,0.00019759,0.000291886,0.000208463,2013,both
X21,0,0.284798707,0.1837951,0.233852453,0.196228079,0.04899905,0.037719419,0.01012935,0.002204713,0.000928014,0.00082029,6.64E-05,0.000458463,2014,both
X22,0,0.062849578,0.421884113,0.200930753,0.194413356,0.083415435,0.020333108,0.012373198,0.002784638,0.000509054,0.000231102,9.66E-05,0.000179088,2015,both
X23,0,0.106447365,0.094035295,0.357190604,0.223523762,0.149105242,0.051785645,0.011978041,0.003730456,0.001418333,0.000457013,0.000260866,6.74E-05,2016,both
X24,2.12E-06,0.099721573,0.162216453,0.157493561,0.298391664,0.164761311,0.084185105,0.025078462,0.003941093,0.002885748,0.00046843,0.000409259,0.000445218,2017,both
X25,3.16E-06,0.081848,0.106491566,0.265957237,0.159315582,0.266001509,0.08397584,0.030676719,0.00294388,0.001828822,0.000537667,0.000161509,0.000258506,2018,both
X26,0,0.585019696,0.080428723,0.074549839,0.078074783,0.06374049,0.078097983,0.030538215,0.007177963,0.0011926,0.000365811,0.000151565,0.00066233,2019,both
X27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,both
X28,0.004789033,0.223688029,0.146940197,0.292654296,0.157561701,0.062472888,0.050149365,0.039905568,0.014970502,0.004595914,0.001038308,0.000557926,0.000676275,2021,both
X29,5.75E-05,0.218072957,0.219248602,0.178521042,0.225690599,0.072498823,0.034894088,0.025317933,0.014476306,0.007303735,0.002222866,0.000964554,0.000731024,2022,both
X30,0,0.269901306,0.29816995,0.176494326,0.11739919,0.093136427,0.02146397,0.011243662,0.007337955,0.002349457,0.001843678,0.000331622,0.000328458,2023,both
X31,0,0.185357509,0.283129081,0.283054674,0.133992583,0.059826336,0.032015218,0.011530718,0.003412845,0.00431494,0.001473866,0.000501598,0.001390632,2024,both
X32,0.000100346,0.380915981,0.163259993,0.160761511,0.126686553,0.081703634,0.045983504,0.022811799,0.010123823,0.004292303,0.001657819,0.001047384,0.000655351,2025,both
